url,section_type,text,length
https://www.farmapodjanovouhorou.cz/sluzby,paragraph,"Co nabízíme Jízda na koni pro děti i dospělé Vyjížďky do přírody Vycházky do přírody na vedeném koni/poníkovi Vodění na poníkovi pro děti Jezdecké kroužky Letní tábory Doplňující info: Prosíme o příjezd na jízdu o 5-10 minut dříve z důvodu instrukcí a nastavení pomůcek. Čas jízdy se počítá od domluveného času, pozdním příjezdem a zdržením se, se čas jízdy o tuto dobu krátí. Jízda na koni je možná ve dnech pondělí až sobota. O nedělích nejezdíme, i my máme děti a rodinu, se kterou chceme trávit čas. Exkurze na farmě pro školky a školy Na farmě máme kromě koní další spoustu zvířat: ovečky, krávy, kozy, králíky, slepice... Chcete vidět jak takový den na farmě probíhá? Sami si zkusit jak se o zvířata postarat? Nabízíme Vám exkurze na farmě. Facebookové stránky",766
https://www.farmapodjanovouhorou.cz/krouzky,title,Kroužky :: farmapodjanovouhorou,31
https://www.farmapodjanovouhorou.cz/krouzky,meta_description,MOMENTÁLNĚ MÁME VŠECHNY KROUŽKY PLNĚ OBSAZENY,45
https://www.farmapodjanovouhorou.cz/krouzky,h1,Kroužky,7
https://www.farmapodjanovouhorou.cz/krouzky,h2,Online rezervace kroužek,24
https://www.farmapodjanovouhorou.cz/krouzky,paragraph,"Kroužky MOMENTÁLNĚ MÁME VŠECHNY KROUŽKY PLNĚ OBSAZENY - pro děti od 7 let jezdecký kroužek je pro děti, které mají rády koně, chtějí s nimi trávit čas, jezdit, pečovat o ně děti se naučí jak se o koně starat, ošetřovat, krmit, sedlat Naučí se s koňmi základy práce ze země a jak se kolem nich pohybovat Při nepřízni počasí se věnujeme teoretické výuce péče o koně, chod stáje, výstroj… Vycházky s koňmi do přírody, na vodítku i v sedle Kroužky probíhají ve dnech: - úterý POKROČILÍ 16:00 - 18:30 OBSAZENO - středa začátečníci 16:00 - 18:30 OBSAZENO - čtvrtek 16:00 - 18:30 OBSAZENO JARNÍ ČÁST KROUŽKU bude pokračovat v průběhu března 2026 Termín úterý pokročilí: Termín středa: Termín čtvrtek: Cena: Na první hodinou s sebou prosím přineste vytištěnou přihlášku a prohlášení. (soubory ke stažení jsou pod online formulářem) Online rezervace kroužek Rezervaci Vám potvrdíme e-mailem. Rezervace je platná po uhrazení kroužku. č.účtu 2003148579/2010 (do zprávy pro příjemce uveďte jméno dítěte) Jméno a příjmení E-mail Telefonní číslo Termín úterý - pokročilý středa - začátečníci čtvrtek - začátečníci Jméno dítěte, věk,  poznámka REZERVOVAT Dokumenty ke stažení PŘIHLÁŠKA.pdf ŘÁD.pdf",1182
https://www.farmapodjanovouhorou.cz/krouzky,form_label,Jméno a příjmení,16
https://www.farmapodjanovouhorou.cz/krouzky,form_label,E-mail,6
https://www.farmapodjanovouhorou.cz/krouzky,form_label,Telefonní číslo,15
https://www.farmapodjanovouhorou.cz/krouzky,form_label,Termín,6
https://www.farmapodjanovouhorou.cz/krouzky,form_label,"Jméno dítěte, věk,  poznámka",28
https://www.farmapodjanovouhorou.cz/tabory,title,Tábory :: farmapodjanovouhorou,30
https://www.farmapodjanovouhorou.cz/tabory,meta_description,Příměstské a pobytové tábory pro děti,37
https://www.farmapodjanovouhorou.cz/tabory,h1,Tábory,6
https://www.farmapodjanovouhorou.cz/tabory,h2,Online rezervace tábor,22
https://www.farmapodjanovouhorou.cz/tabory,paragraph,"Tábory Příměstské a pobytové tábory pro děti Program: pro děti od 7 let jízda na koni, děti se naučí základní péči o koně teoreticky i prakticky, ošetřování, sedlání, vyjížďky do terénu, práce s koněm ze země dále na Vaše děti čeká mnoho vedlejších aktivit – seznámení se s dalšími zvířaty na farmě, tvořivá činnost, soutěže… exkurze v dostihové stáji v případě příznivého počasí přespí děti jednu noc pod širákem Příměstský tábor pondělí – pátek 8 - 16 hod Cena příměstského tábora 4 800,- (zahrnuje oběd, svačina, pitný režim po celý den) Termíny příměstský tábor: 1. turnus      6.7.2026 - 10. 7. 2026 obsazenost 7/12 2. turnus 27. 7. 2026 - 31. 7. 2026 obsazenost   7/12 Pobytový tábor: Termín:   1. turnus  13. 7. 2026 - 17. 7. 2026 obsazenost 2/10 2. turnus 10. 8. 2026 - 14. 8. 2026 obsazenost 8/10 Cena: 7 700,- (zahrnuje ubytování, stravu a pitný režim) Dotazy na email: farmapodjanovouhorou@seznam.cz  tel: 605 279 222 Online rezervace tábor Rezervaci Vám potvrdíme emailem. Přihláška je platná po uhrazení zálohy 1500,- do 14dní od zaslání online rezervace. Doplatek do 20. června č. účtu: 2003148579/2010 (do zprávy pro příjemce uvádějete prosím jméno a přijmení dítěte) Jméno přijmení E-mail Telefonní číslo Termín tábora Příměstský tábor - první turnus Příměstský tábor - druhý turnus Pobytový tábor - první turnus Pobytový tábor - druhý turnus Jméno dítěte, věk,  poznámka Odeslat Dokumenty ke stažení PŘIHLÁŠKA.pdf ZDRAVOTNÍ ZPŮSOBILOST.pdf BEZINFEKČNOST.pdf ŘÁD.pdf Facebookové stránky",1502
https://www.farmapodjanovouhorou.cz/tabory,form_label,Jméno přijmení,14
https://www.farmapodjanovouhorou.cz/tabory,form_label,E-mail,6
https://www.farmapodjanovouhorou.cz/tabory,form_label,Telefonní číslo,15
https://www.farmapodjanovouhorou.cz/tabory,form_label,Termín tábora,13
https://www.farmapodjanovouhorou.cz/tabory,form_label,"Jméno dítěte, věk,  poznámka",28
https://www.farmapodjanovouhorou.cz/cenik,title,Ceník :: farmapodjanovouhorou,29
https://www.farmapodjanovouhorou.cz/cenik,meta_description,Vycházka na vedeném koni/poníkovi,33
https://www.farmapodjanovouhorou.cz/cenik,h1,Ceník,5
https://www.farmapodjanovouhorou.cz/cenik,h2,Plánujete čundr s vlastním koněm v našem okolí?,47
https://www.farmapodjanovouhorou.cz/cenik,paragraph,"Ceník JÍZDA NA KONI Vyjížďka do přírody 60min 600 Kč Vycházka na vedeném koni/poníkovi 30min/350 Kč    60min/600 Kč Vodění na poníkovi pro děti 30min 350 Kč Prosíme o příjezd na ježdění o 10 minut dříve z důvodu instrukcí a nastavení sedla. Čas jízdy se počítá od domluveného času, pozdním příjezdem a zdržením se, se čas jízdy o tuto dobu krátí. Jízda na koni je možná ve dnech pondělí až sobota. O nedělích nejezdíme, i my máme děti a rodinu, se kterou chceme trávit čas. Ceny platné od 1. 1. 2025 Další možnosti s koňmi Zapůjčení koně na focení s vlastním fotografem, u nás na farmě nebo Vám koně přivezeme (k ceně se připočítává doprava na místo) dohodou Zapůjčení koně na svatbu příjezd, focení (k ceně se připočítává doprava na místo) dohodou Dětské oslavy - vození na poníkovi přijedeme povozit vaše děti na oslavu (k ceně se připočítává doprava) dohodou Exkurze na farmě pro školky a školy 80,-/dítě pedagogický doprovod zdarma Plánujete čundr s vlastním koněm v našem okolí? Nabízíme Vám možnost využít prostor pro přespaní a ohradu pro vaše koně. Facebookové stránky",1076
https://www.farmapodjanovouhorou.cz/nasi-kone,title,Naši koně :: farmapodjanovouhorou,33
https://www.farmapodjanovouhorou.cz/nasi-kone,meta_description,"Rolls skal - americký klusák,",29
https://www.farmapodjanovouhorou.cz/nasi-kone,h1,Naši koně,9
https://www.farmapodjanovouhorou.cz/nasi-kone,h1,Byli u nás,10
https://www.farmapodjanovouhorou.cz/nasi-kone,paragraph,"Naši koně Rolls skal - americký klusák, nar. 4.3.1997 o: Vanity lobell (US) m: Rotffeder (D) v mládí běhal klusácké dostihy, nyní si užívá důchodu. Talisman - angloarab nar. 17.5.2024 o: Dahoman Bogar m: Tasmína Talisman je hříbátko po naší Tasmíně, užívá si dětství a doufáme, že se v budoucnu ukáže v crossové disciplíně a vytrvalosti. Emira - arabský plnokrevník nar. 7. 5. 2018 o: Equizar m: Empytia mladá talentovaná kobylka. S Emirou běháme ponydostihy. Jemná kobylka pro zkušené jezdce. Shadow Chardey - anglický plnokrevník nar. 18. 1. 2018 o: Chardonnay Tcheque m:  Sexy princess Shadow je velmi milá a kontaktní kobylka. S příjemným temperamentem. Je to sestra Tasmíny, mají společného otce hřebce Chardonnay Tcheque. Khan Dengri - Achal-teke, plemenný hřebec nar: 2009 o: Djasman m: Chiva tarki Khan má výkonnost Endurance stupně Z, plavák, charakterní hřebec s vyrovnanou povahou. Připouští přirozeně. Estefano nebo jak mu říkáme ""Pišta"" - anglický plnokrevník nar. 20.2. 2000 o: Bakharoff (USA) m: Estonia v mládí běhal dostihy. Nyní dělá profesora pro jezdce a užívá si důchodu. Merta  - welsh part bred, nar. 10.4.2001 o: Peer m: Mery velmi temperamentní dáma, pod sedlem ukazuje že do důchodu rozhodně nepatří. Tristan - shagya arab nar. 1. 5. 2015 Tristan v Endurance sportu dosáhl úrovně S. Je velmi šikovný pracovitý kůň, své jezdce si vybírá. Velmi trpělivý koník pro začátečníky. Silver - hafling x norik nar. 5.7.2010 Silver je moc hodný koník, miluje lidskou pozornost a užívá si každou péči. Na ježdění je velmi příjemný. Silver je u nás zapůjčen. Glenn Nirvana nar: 6. 6. 2018 Glenn má skvělou velmi komunikativní povahu. Je to velmi vnímavá spravedlivá dáma. Ochotná a milá ke svým jezdcům, ale když je potřeba umí říct ne. Tasmína - anglický plnokrevník nar. 25.3.2018 o: Chardonay tcheque m: Tanita Tasmína běhala překážkové dostihy, po úraze kariéru ukončila a nyní působí v chovu. Maya - pony, nar. 2020 co říct k Mayence, je to prostě poník se svojí hlavou a názorem :)",2000
https://www.farmapodjanovouhorou.cz/kontaktujte-nas,title,Kontaktujte nás :: farmapodjanovouhorou,39
https://www.farmapodjanovouhorou.cz/kontaktujte-nas,meta_description,"Janova Hora 466, 763 12 VizoviceIČ: 22644601",44
https://www.farmapodjanovouhorou.cz/kontaktujte-nas,h1,Kontaktujte nás,15
https://www.farmapodjanovouhorou.cz/kontaktujte-nas,h2,Adresa:,7
https://www.farmapodjanovouhorou.cz/kontaktujte-nas,h2,Kudy k nám:,11
https://www.farmapodjanovouhorou.cz/kontaktujte-nas,h2,Kontaktujte nás:,16
https://www.farmapodjanovouhorou.cz/kontaktujte-nas,h2,Transparetní účet: 2003148579/2010,34
https://www.farmapodjanovouhorou.cz/kontaktujte-nas,paragraph,"Těšíme se na vaše dotazy Kontaktujte nás Adresa: Farma pod Janovou horou z.s. Janova Hora 466, 763 12 Vizovice IČ: 22644601 Kudy k nám: Ze směru Zlín: navigace mapy cz, cesta vede pres Zádveřice Trávník, cca 100m za novým srubem odbočit doleva přes potok Od Vizovic: navigace mapy cz, ulice Lázeňská, Valašský šenk, od něj nastavit adresu Janova hora 466 a spustit jako cyklotrasu. UPOZORNĚNÍ! Nepoužívejte google maps nedovede Vás v k nám, naviguje jinam! Kontaktujte nás: email: farmapodjanovouhorou@seznam.cz telefon: +420 605 279 222 Od 14. března 2025 jsme neziskovou organizací, budeme rádi za vaše příspěvky a dary. Dary spolku si můžete odečíst z daní, potvrzení Vám na požádání vystavíme. Transparetní účet: 2003148579/2010 Sledujte nás i na FACEBOOKU Jméno a příjmení E-mail Telefonní číslo Předmět Zpráva Odeslat",823
https://www.farmapodjanovouhorou.cz/kontaktujte-nas,form_label,Jméno a příjmení,16
https://www.farmapodjanovouhorou.cz/kontaktujte-nas,form_label,E-mail,6
https://www.farmapodjanovouhorou.cz/kontaktujte-nas,form_label,Telefonní číslo,15
https://www.farmapodjanovouhorou.cz/kontaktujte-nas,form_label,Předmět,7
https://www.farmapodjanovouhorou.cz/kontaktujte-nas,form_label,Zpráva,6
https://www.farmapodjanovouhorou.cz/akce-na-farme,title,Akce na farmě :: farmapodjanovouhorou,37
https://www.farmapodjanovouhorou.cz/akce-na-farme,meta_description,Akce na farmě,13
https://www.farmapodjanovouhorou.cz/akce-na-farme,h1,Akce na farmě,13
https://www.farmapodjanovouhorou.cz/akce-na-farme,paragraph,"Používáme cookies, abychom zajistili správné fungování a bezpečnost našich stránek. Tím vám můžeme zajistit tu nejlepší zkušenost při jejich návštěvě. Přijmout nezbytné Přijmout vše Pokročilá nastavení Zde můžete upravit své preference ohledně cookies. Následující kategorie můžete povolit či zakázat a svůj výběr uložit. Nezbytné krátkodobé cookies Uložit",356
https://www.farmapodjanovouhorou.cz/boty-pro-kone-sawer,title,Boty pro koně SAWER :: farmapodjanovouhorou,43
https://www.farmapodjanovouhorou.cz/boty-pro-kone-sawer,meta_description,Pasování a prodej bot pro koně zn. SAWER,40
https://www.farmapodjanovouhorou.cz/boty-pro-kone-sawer,h1,Boty pro koně SAWER,19
https://www.farmapodjanovouhorou.cz/boty-pro-kone-sawer,h2,Boty MASTER SANDEWERK,21
https://www.farmapodjanovouhorou.cz/boty-pro-kone-sawer,h2,Boty BASIC SANDEWERK,20
https://www.farmapodjanovouhorou.cz/boty-pro-kone-sawer,h2,Tabulka velikostí obuvi SAWER,29
https://www.farmapodjanovouhorou.cz/boty-pro-kone-sawer,paragraph,"Boty pro koně SAWER Pasování a prodej bot pro koně zn. SAWER U nás na farmě používáme pro naše koně místo podkov boty pro koně. Naši koně pomáhali při vývoji botiček, testovali je, dali jim pořádně zabrat a jsme rádi, že můžeme tyto produkty nabídnou i Vašim koním. Nabízíme pasování a prodej botiček zn. SAWER. Boty firmy SANDEWERK respektují anatomii, biomechaniku a funkci kopyta a zároveň ho chrání a podporují. Jsou to boty do jakéhokoliv terénu. Jejich výhodou je lehkost a unikátní flexibilnost. Jsou perfektní také při rehabilitaci kopyt. Boty chrání kopyto na tvrdých terénech, jako je asfaltová nebo betonová cesta rovněž v náročném terénu v přírodě. V případě nemocného nebo poškozeného kopyta lze boty použít jako prostředek k léčbě a rehabilitaci. Pro výběr správné velikosti je rozhodující délka i šířka kopyta (pokud není kopyto atypické). Po dohodě lze vyrobit obuv pro každou nohu zvlášť. Pro nákup a pasování mě kontaktujte telefonicky +420 605 279 222 07.01.2026 Boty MASTER SANDEWERK 07.01.2026 Boty BASIC SANDEWERK 07.01.2026 Tabulka velikostí obuvi SAWER",1076
https://www.farmapodjanovouhorou.cz/l/clanek-s-obrazky,title,Boty MASTER SANDEWERK :: farmapodjanovouhorou,45
https://www.farmapodjanovouhorou.cz/l/clanek-s-obrazky,meta_description,"Obuv má svršek vyrobený ze syntetické usně s nánosem PU. Kolem nohy je obuv bohatě bandážovaná, aby nedošlo k otlačení nebo odření nohy během nošení.",149
https://www.farmapodjanovouhorou.cz/l/clanek-s-obrazky,h1,Boty MASTER SANDEWERK,21
https://www.farmapodjanovouhorou.cz/l/clanek-s-obrazky,paragraph,"Boty MASTER SANDEWERK 07.01.2026 Obuv má svršek vyrobený ze syntetické usně s nánosem PU. Kolem nohy je obuv bohatě bandážovaná, aby nedošlo k otlačení nebo odření nohy během nošení. Obuv má skryté vnitřní zapínání na welcro (suchý zip), nárt je fixován na bocích rovněž přes welcro. Nakonec je nárt zafixovaný upínacím páskem kolem nohy. Pro zajištění bezpečnosti v terénu je obuv vybavena reflexními prvky jak ve přední, tak i zadní části obuvi. Kopyto v botě může optimálně fungovat, bota ho nijak neomezuje a díky měkké bandáži netlačí. Podešev je pryžová, což umožňuje měkký došlap a tlumení nárazů, které se následně přenáší do celého těla koně. Kopyto musí být bez podkovy, hladké, čisté, nesmí mít otřepy, které by mohly poškodit podšívku obuvi. Důležité je přesné určení velikosti boty, aby obuv dobře obepnula kopyto a nehrozila ztráta obuvi v terénu. ​Obuv pro koně je symetrická, pravá a levá noha se liší jen zapínáním vnějšího upínacího pásku. Nártový kovový oválek musí být směrem do nohy, po protažení pásku oválkem pak konec pásku směřuje ven z nohy, aby při chůzi nevadil. Obuv je vyráběna ve velikostech 100, 110, 120, 130, 140, 150, 160, 170. cena 5 090,- Share Tweet",1187
https://www.farmapodjanovouhorou.cz/l/clanek-s-tipy-pro-upravu-textu,title,Boty BASIC SANDEWERK :: farmapodjanovouhorou,44
https://www.farmapodjanovouhorou.cz/l/clanek-s-tipy-pro-upravu-textu,meta_description,Tento vzor je vyroben v kombinaci textilu (PES) a syntetické usně s nánosem polyuretanu (PU).,93
https://www.farmapodjanovouhorou.cz/l/clanek-s-tipy-pro-upravu-textu,h1,Boty BASIC SANDEWERK,20
https://www.farmapodjanovouhorou.cz/l/clanek-s-tipy-pro-upravu-textu,h1,Boty BASIC,10
https://www.farmapodjanovouhorou.cz/l/clanek-s-tipy-pro-upravu-textu,paragraph,"Boty BASIC SANDEWERK 07.01.2026 Boty BASIC SANDEWERK Tento vzor je vyroben v kombinaci textilu (PES) a syntetické usně s nánosem polyuretanu (PU). Obuv je kolem nohy bandážovaná, aby poskytla dokonalý komfort a při zapínání a nošení nedošlo k poškození kůže na noze. V zadní části obuvi rovněž není žádný šev, který by mohl způsobit odření nohy. Tento vzor má trojí jištění upnutí na noze: První je skryté pod nártem a upíná obuv kolem nohy a současně přitahuje i boky. Druhé jištění je pouze welcrem a spojuje nárt po stranách. Třetí zapínání přitahuje nárt přes zadní díl. Upínací pásky s welcrem zajistí dokonalé přitažení a fixaci kolem nohy. Obuv lze dobře otevřít, což umožňuje snadné nazutí na kopyto. Pro zajištění bezpečnosti je obuv vybavena reflexními prvky jak na nártu, tak v zadních partiích. Podešev obuvi je pryžová a zajišťuje perfektní přilnavost k různým povrchům. Neklouže v blátě a dobře drží nohy i na ledovém terénu. Kopyto musí být bez podkovy a před nazutím musí být čisté a hladké, aby případné nerovnosti nepoškodily podšívku. Určení správné velikosti je rozhodující, aby obuv splnila svůj účel. ​Obuv pro koně je symetrická, pravá a levá noha se liší jen vnějším upínacím páskem, jehož konec musí jít ven z nohy, aby při chůzi nevadil. Kromě toho reflexní boční popruh směřuje rovněž ven z nohy. Obuv je vyráběna ve velikostech 100, 110, 120, 130, 140, 150, 160, 170. cena 4 890,- Share Tweet",1420
https://www.farmapodjanovouhorou.cz/l/jednoduchy-clanek,title,Tabulka velikostí obuvi SAWER :: farmapodjanovouhorou,53
https://www.farmapodjanovouhorou.cz/l/jednoduchy-clanek,meta_description,"Boty jsou vyráběny v jednotlivých velikostech podle optimálního modelu. Ve skutečnosti mají koňské kopyta celou řadu odchylek. Důležitá je pak i délka kopyta, protože kopyto musí být v botě po celé ploše v kontaktu s podešví. Pokud není dobře umístěné a zadní část je zvedlá, hrozí poškození obuvi, nebo poranění nohy. V praxi se ukázalo, že je...",347
https://www.farmapodjanovouhorou.cz/l/jednoduchy-clanek,h1,Tabulka velikostí obuvi SAWER,29
https://www.farmapodjanovouhorou.cz/l/jednoduchy-clanek,paragraph,"Tabulka velikostí obuvi SAWER 07.01.2026 Boty jsou vyráběny v jednotlivých velikostech podle optimálního modelu. Ve skutečnosti mají koňské kopyta celou řadu odchylek. Důležitá je pak i délka kopyta, protože kopyto musí být v botě po celé ploše v kontaktu s podešví. Pokud není dobře umístěné a zadní část je zvedlá, hrozí poškození obuvi, nebo poranění nohy. V praxi se ukázalo, že je lepší, když má kopyto v botě určitou (malou) rezervu, než když je obuv na ""silu"" natažená na kopyto. Z toho důvodu jsme se rozhodli přikládat k obuvi vkládací stélku, která může také eliminovat rozdíl u ostrouhaného kopyta. Pro správný výběr velikosti obuvi je klíčové změřit délku i šířku kopyta. Měření provádějte na čistém a hladkém kopytě. Nejlepší je měřit po úpravě kopyta, kdy má přirozený tvar. Share Tweet",800
